rho_c	i	phi_1	n0	p	a	r1	teta
10000.000000	0.000000	0.000000	1.350000	0.000028	1.500000	934.140015	3.141518
9812.189106	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141512
9755.497228	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141512
9596.175684	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141510
9596.175684	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141510
9583.244717	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141510
9594.883456	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141510
9435.447010	0.037500	0.000000	1.350000	0.000030	1.425000	934.140015	3.141509
9435.447010	0.037500	0.000000	1.350000	0.000030	1.425000	934.140015	3.141509
9312.148722	0.038081	0.000000	1.350000	0.000030	1.423839	934.140015	3.141508
9201.746797	0.038018	0.000000	1.350000	0.000031	1.423964	934.140015	3.141507
9312.148722	0.038081	0.000000	1.350000	0.000030	1.423839	934.140015	3.141508
9312.148722	0.038081	0.000000	1.350000	0.000030	1.423839	934.140015	3.141508
9317.071777	0.039617	0.000000	1.350000	0.000030	1.420766	934.140015	3.141508
9317.071777	0.039617	0.000000	1.350000	0.000030	1.420766	934.140015	3.141508
9236.608864	0.036635	0.000000	1.350000	0.000030	1.426730	934.140015	3.141507
9283.372366	0.036944	0.000000	1.350000	0.000030	1.426112	934.140015	3.141508
9283.372366	0.037788	0.000000	1.350000	0.000030	1.424423	934.140015	3.141508
9259.854829	0.037500	0.000000	1.350000	0.000030	1.425000	934.140015	3.141507
9189.945922	0.035689	0.000000	1.350000	0.000031	1.428623	934.140015	3.141507
9101.028858	0.037500	0.000000	1.350000	0.000031	1.425000	934.140015	3.141506
9314.793304	0.037500	0.000000	1.350000	0.000030	1.425000	934.140015	3.141508
9278.716214	0.037145	0.000000	1.350000	0.000030	1.425710	934.140015	3.141508
9155.183360	0.038387	0.000000	1.350000	0.000031	1.423226	934.140015	3.141506
9172.861168	0.039463	0.000000	1.350000	0.000031	1.421074	934.140015	3.141506
9172.861168	0.039463	0.000000	1.350000	0.000031	1.421074	934.140015	3.141506
9236.468494	0.037632	0.000000	1.350000	0.000030	1.424736	934.140015	3.141507
9197.152098	0.037908	0.000000	1.350000	0.000031	1.424185	934.140015	3.141507
9221.082871	0.038261	0.000000	1.350000	0.000031	1.423478	934.140015	3.141507
9115.694773	0.038261	0.000000	1.350000	0.000031	1.423478	934.140015	3.141506
9065.067455	0.037861	0.000000	1.350000	0.000031	1.424278	934.140015	3.141506
9002.761806	0.037861	0.000000	1.350000	0.000031	1.424278	934.140015	3.141505
8908.978729	0.037861	0.000000	1.350000	0.000032	1.424278	934.140015	3.141504
8908.978729	0.037861	0.000000	1.350000	0.000032	1.424278	934.140015	3.141504
8908.978729	0.037861	0.000000	1.350000	0.000032	1.424278	934.140015	3.141504
8880.617907	0.037570	0.000000	1.350000	0.000032	1.424861	934.140015	3.141504
8908.978729	0.040175	0.000000	1.350000	0.000032	1.419650	934.140015	3.141504
8908.978729	0.040175	0.000000	1.350000	0.000032	1.419650	934.140015	3.141504
8789.245329	0.036147	0.000000	1.350000	0.000032	1.427707	934.140015	3.141503
8807.301074	0.038955	0.000000	1.350000	0.000032	1.422091	934.140015	3.141503
8891.377908	0.037941	0.000000	1.350000	0.000032	1.424118	934.140015	3.141504
8891.377908	0.037941	0.000000	1.350000	0.000032	1.424118	934.140015	3.141504
8867.763328	0.037590	0.000000	1.350000	0.000032	1.424821	934.140015	3.141504
8867.763328	0.037941	0.000000	1.350000	0.000032	1.424118	934.140015	3.141504
8712.083976	0.037941	0.000000	1.350000	0.000032	1.424118	934.140015	3.141502
8700.836340	0.038545	0.000000	1.350000	0.000032	1.422910	934.140015	3.141502
8700.836340	0.038545	0.000000	1.350000	0.000032	1.422910	934.140015	3.141502
8712.083976	0.039364	0.000000	1.350000	0.000032	1.421271	934.140015	3.141502
8645.588474	0.036517	0.000000	1.350000	0.000033	1.426967	934.140015	3.141501
