rho_c	i	phi_1	n0	p	a	r1	teta
10000.000000	0.000000	0.000000	1.350000	0.000028	1.500000	934.140015	3.141518
9774.476305	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141512
9687.763702	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141511
9626.732538	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141511
9534.561647	0.037612	0.000000	1.350000	0.000029	1.424776	934.140015	3.141510
9534.561647	0.037612	0.000000	1.350000	0.000029	1.424776	934.140015	3.141510
9475.210777	0.038255	0.000000	1.350000	0.000030	1.423489	934.140015	3.141509
9337.396752	0.037602	0.000000	1.350000	0.000030	1.424796	934.140015	3.141508
9337.396752	0.038298	0.000000	1.350000	0.000030	1.423403	934.140015	3.141508
9389.550026	0.037602	0.000000	1.350000	0.000030	1.424796	934.140015	3.141509
9206.491019	0.037372	0.000000	1.350000	0.000031	1.425257	934.140015	3.141507
9206.491019	0.037372	0.000000	1.350000	0.000031	1.425257	934.140015	3.141507
9387.715627	0.037027	0.000000	1.350000	0.000030	1.425946	934.140015	3.141509
9366.026431	0.037820	0.000000	1.350000	0.000030	1.424359	934.140015	3.141508
9356.860570	0.037953	0.000000	1.350000	0.000030	1.424093	934.140015	3.141508
9331.048518	0.038198	0.000000	1.350000	0.000030	1.423604	934.140015	3.141508
9231.254640	0.037612	0.000000	1.350000	0.000030	1.424776	934.140015	3.141507
9182.312525	0.035466	0.000000	1.350000	0.000031	1.429068	934.140015	3.141507
8979.522006	0.036280	0.000000	1.350000	0.000031	1.427439	934.140015	3.141505
8979.522006	0.036280	0.000000	1.350000	0.000031	1.427439	934.140015	3.141505
9115.808632	0.039520	0.000000	1.350000	0.000031	1.420961	934.140015	3.141506
9115.808632	0.039428	0.000000	1.350000	0.000031	1.421144	934.140015	3.141506
9079.782178	0.037500	0.000000	1.350000	0.000031	1.425000	934.140015	3.141506
8962.867278	0.039428	0.000000	1.350000	0.000031	1.421144	934.140015	3.141504
9079.782178	0.037762	0.000000	1.350000	0.000031	1.424476	934.140015	3.141506
9051.363451	0.035169	0.000000	1.350000	0.000031	1.429662	934.140015	3.141506
8902.612605	0.036962	0.000000	1.350000	0.000032	1.426077	934.140015	3.141504
8878.296578	0.038153	0.000000	1.350000	0.000032	1.423694	934.140015	3.141504
8736.426183	0.038153	0.000000	1.350000	0.000032	1.423694	934.140015	3.141502
8737.908093	0.038153	0.000000	1.350000	0.000032	1.423694	934.140015	3.141502
8736.426183	0.036861	0.000000	1.350000	0.000032	1.426277	934.140015	3.141502
9011.968319	0.037500	0.000000	1.350000	0.000031	1.425000	934.140015	3.141505
8948.227510	0.036742	0.000000	1.350000	0.000031	1.426516	934.140015	3.141505
8974.955823	0.037814	0.000000	1.350000	0.000031	1.424371	934.140015	3.141505
8974.955823	0.036981	0.000000	1.350000	0.000031	1.426038	934.140015	3.141505
8919.966188	0.037510	0.000000	1.350000	0.000032	1.424980	934.140015	3.141504
8919.966188	0.037931	0.000000	1.350000	0.000032	1.424139	934.140015	3.141504
8876.923060	0.038134	0.000000	1.350000	0.000032	1.423732	934.140015	3.141504
8908.762856	0.038751	0.000000	1.350000	0.000032	1.422499	934.140015	3.141504
8846.185259	0.037152	0.000000	1.350000	0.000032	1.425696	934.140015	3.141503
8974.528683	0.039991	0.000000	1.350000	0.000031	1.420018	934.140015	3.141504
8892.067349	0.034541	0.000000	1.350000	0.000032	1.430918	934.140015	3.141504
8890.827289	0.039193	0.000000	1.350000	0.000032	1.421614	934.140015	3.141504
8779.299096	0.038841	0.000000	1.350000	0.000032	1.422318	934.140015	3.141503
8779.299096	0.038841	0.000000	1.350000	0.000032	1.422318	934.140015	3.141503
8861.130421	0.039589	0.000000	1.350000	0.000032	1.420821	934.140015	3.141503
8834.705277	0.035844	0.000000	1.350000	0.000032	1.428313	934.140015	3.141504
8834.705277	0.035371	0.000000	1.350000	0.000032	1.429258	934.140015	3.141504
8834.705277	0.035371	0.000000	1.350000	0.000032	1.429258	934.140015	3.141504
8801.609389	0.036786	0.000000	1.350000	0.000032	1.426429	934.140015	3.141503
8764.926860	0.034907	0.000000	1.350000	0.000032	1.430187	934.140015	3.141503
8782.909761	0.039381	0.000000	1.350000	0.000032	1.421238	934.140015	3.141503
8707.106805	0.039727	0.000000	1.350000	0.000032	1.420546	934.140015	3.141502
8770.521954	0.035202	0.000000	1.350000	0.000032	1.429596	934.140015	3.141503
8770.521954	0.035202	0.000000	1.350000	0.000032	1.429596	934.140015	3.141503
8770.521954	0.035221	0.000000	1.350000	0.000032	1.429558	934.140015	3.141503
8706.903873	0.036952	0.000000	1.350000	0.000032	1.426096	934.140015	3.141502
8502.353694	0.036952	0.000000	1.350000	0.000033	1.426096	934.140015	3.141500
8808.536251	0.037449	0.000000	1.350000	0.000032	1.425103	934.140015	3.141503
8808.536251	0.037449	0.000000	1.350000	0.000032	1.425103	934.140015	3.141503
8792.035999	0.034666	0.000000	1.350000	0.000032	1.430667	934.140015	3.141503
8720.445812	0.037288	0.000000	1.350000	0.000032	1.425424	934.140015	3.141502
8756.181822	0.037288	0.000000	1.350000	0.000032	1.425424	934.140015	3.141503
8780.321491	0.040683	0.000000	1.350000	0.000032	1.418635	934.140015	3.141502
