rho_c	i	phi_1	n0	p	a	r1	teta
10000.000000	0.000000	0.000000	1.350000	0.000028	1.500000	934.140015	3.141518
9778.758332	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141512
9623.851454	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141511
9733.417898	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141512
9580.418375	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141510
9512.532813	0.037500	0.000000	1.350000	0.000030	1.425000	934.140015	3.141510
9523.376483	0.037500	0.000000	1.350000	0.000030	1.425000	934.140015	3.141510
9331.863504	0.038082	0.000000	1.350000	0.000030	1.423836	934.140015	3.141508
9204.960977	0.037252	0.000000	1.350000	0.000031	1.425495	934.140015	3.141507
9190.544253	0.037560	0.000000	1.350000	0.000031	1.424880	934.140015	3.141507
8972.351381	0.037560	0.000000	1.350000	0.000031	1.424880	934.140015	3.141505
8972.351381	0.037560	0.000000	1.350000	0.000031	1.424880	934.140015	3.141505
8972.351381	0.037560	0.000000	1.350000	0.000031	1.424880	934.140015	3.141505
8972.351381	0.037560	0.000000	1.350000	0.000031	1.424880	934.140015	3.141505
8972.351381	0.037560	0.000000	1.350000	0.000031	1.424880	934.140015	3.141505
9188.032742	0.038082	0.000000	1.350000	0.000031	1.423836	934.140015	3.141507
9188.032742	0.038082	0.000000	1.350000	0.000031	1.423836	934.140015	3.141507
9188.032742	0.038082	0.000000	1.350000	0.000031	1.423836	934.140015	3.141507
9258.500545	0.037744	0.000000	1.350000	0.000030	1.424512	934.140015	3.141507
9251.808478	0.037657	0.000000	1.350000	0.000030	1.424687	934.140015	3.141507
9220.944720	0.037861	0.000000	1.350000	0.000031	1.424278	934.140015	3.141507
9157.821107	0.037459	0.000000	1.350000	0.000031	1.425083	934.140015	3.141506
9100.173557	0.038188	0.000000	1.350000	0.000031	1.423623	934.140015	3.141506
9220.944720	0.037861	0.000000	1.350000	0.000031	1.424278	934.140015	3.141507
9220.944720	0.038832	0.000000	1.350000	0.000031	1.422335	934.140015	3.141507
9141.717171	0.036043	0.000000	1.350000	0.000031	1.427914	934.140015	3.141506
9080.128561	0.037861	0.000000	1.350000	0.000031	1.424278	934.140015	3.141506
9068.876045	0.039241	0.000000	1.350000	0.000031	1.421519	934.140015	3.141505
9068.876045	0.040046	0.000000	1.350000	0.000031	1.419908	934.140015	3.141505
9182.577114	0.039241	0.000000	1.350000	0.000031	1.421519	934.140015	3.141506
9014.971461	0.038513	0.000000	1.350000	0.000031	1.422974	934.140015	3.141505
9182.577114	0.039241	0.000000	1.350000	0.000031	1.421519	934.140015	3.141506
8985.324719	0.039241	0.000000	1.350000	0.000031	1.421519	934.140015	3.141505
8985.324719	0.038710	0.000000	1.350000	0.000031	1.422579	934.140015	3.141505
8985.324719	0.038223	0.000000	1.350000	0.000031	1.423555	934.140015	3.141505
8910.487469	0.038032	0.000000	1.350000	0.000032	1.423935	934.140015	3.141504
8910.487469	0.038573	0.000000	1.350000	0.000032	1.422855	934.140015	3.141504
8998.678436	0.040079	0.000000	1.350000	0.000031	1.419843	934.140015	3.141505
8998.678436	0.040079	0.000000	1.350000	0.000031	1.419843	934.140015	3.141505
8998.678436	0.040212	0.000000	1.350000	0.000031	1.419576	934.140015	3.141505
8834.561513	0.039742	0.000000	1.350000	0.000032	1.420516	934.140015	3.141503
8834.561513	0.039742	0.000000	1.350000	0.000032	1.420516	934.140015	3.141503
8878.235986	0.040079	0.000000	1.350000	0.000032	1.419843	934.140015	3.141503
8799.826459	0.039162	0.000000	1.350000	0.000032	1.421676	934.140015	3.141503
8799.826459	0.039162	0.000000	1.350000	0.000032	1.421676	934.140015	3.141503
8792.364334	0.040079	0.000000	1.350000	0.000032	1.419843	934.140015	3.141503
8792.364334	0.040079	0.000000	1.350000	0.000032	1.419843	934.140015	3.141503
8793.261656	0.040079	0.000000	1.350000	0.000032	1.419843	934.140015	3.141503
8639.819986	0.036274	0.000000	1.350000	0.000033	1.427452	934.140015	3.141501
8754.093635	0.036595	0.000000	1.350000	0.000032	1.426811	934.140015	3.141503
8710.125968	0.040079	0.000000	1.350000	0.000032	1.419843	934.140015	3.141502
8744.144595	0.038489	0.000000	1.350000	0.000032	1.423021	934.140015	3.141502
8616.348149	0.037822	0.000000	1.350000	0.000033	1.424356	934.140015	3.141501
8616.348149	0.037822	0.000000	1.350000	0.000033	1.424356	934.140015	3.141501
8616.348149	0.037822	0.000000	1.350000	0.000033	1.424356	934.140015	3.141501
8616.348149	0.039219	0.000000	1.350000	0.000033	1.421561	934.140015	3.141501
8616.348149	0.039987	0.000000	1.350000	0.000033	1.420027	934.140015	3.141501
8616.348149	0.039987	0.000000	1.350000	0.000033	1.420027	934.140015	3.141501
8630.577144	0.037921	0.000000	1.350000	0.000033	1.424157	934.140015	3.141501
8518.026157	0.036891	0.000000	1.350000	0.000033	1.426217	934.140015	3.141500
8423.299411	0.038658	0.000000	1.350000	0.000033	1.422684	934.140015	3.141499
8564.483858	0.039494	0.000000	1.350000	0.000033	1.421012	934.140015	3.141500
8564.483858	0.039494	0.000000	1.350000	0.000033	1.421012	934.140015	3.141500
8564.483858	0.039494	0.000000	1.350000	0.000033	1.421012	934.140015	3.141500
8564.483858	0.039494	0.000000	1.350000	0.000033	1.421012	934.140015	3.141500
8578.563018	0.039900	0.000000	1.350000	0.000033	1.420199	934.140015	3.141500
8495.688733	0.040127	0.000000	1.350000	0.000033	1.419746	934.140015	3.141499
8578.591840	0.037635	0.000000	1.350000	0.000033	1.424729	934.140015	3.141501
8462.135047	0.037066	0.000000	1.350000	0.000033	1.425869	934.140015	3.141499
8462.135047	0.038623	0.000000	1.350000	0.000033	1.422755	934.140015	3.141499
8290.423382	0.039655	0.000000	1.350000	0.000034	1.420691	934.140015	3.141497
8290.423382	0.039944	0.000000	1.350000	0.000034	1.420112	934.140015	3.141497
8290.423382	0.040485	0.000000	1.350000	0.000034	1.419030	934.140015	3.141497
8290.423382	0.040126	0.000000	1.350000	0.000034	1.419748	934.140015	3.141497
8268.090302	0.040061	0.000000	1.350000	0.000034	1.419878	934.140015	3.141497
8183.907606	0.038537	0.000000	1.350000	0.000034	1.422926	934.140015	3.141496
8051.404716	0.038537	0.000000	1.350000	0.000035	1.422926	934.140015	3.141494
7945.661047	0.036727	0.000000	1.350000	0.000035	1.426546	934.140015	3.141493
7945.661047	0.036727	0.000000	1.350000	0.000035	1.426546	934.140015	3.141493
7945.661047	0.037134	0.000000	1.350000	0.000035	1.425732	934.140015	3.141493
7910.328725	0.037668	0.000000	1.350000	0.000036	1.424665	934.140015	3.141493
7910.328725	0.038171	0.000000	1.350000	0.000036	1.423658	934.140015	3.141493
7733.291325	0.036727	0.000000	1.350000	0.000036	1.426546	934.140015	3.141491
7910.328725	0.039246	0.000000	1.350000	0.000036	1.421509	934.140015	3.141493
7835.550806	0.037405	0.000000	1.350000	0.000036	1.425190	934.140015	3.141492
