rho_c	i	phi_1	n0	p	a	r1	teta
10000.000000	0.000000	0.000000	1.350000	0.000028	1.500000	934.140015	3.141518
9837.095063	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141512
9760.516209	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141512
9645.677114	0.038254	0.000000	1.350000	0.000029	1.423492	934.140015	3.141511
9549.589010	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141510
9440.974120	0.037500	0.000000	1.350000	0.000030	1.425000	934.140015	3.141509
9306.286206	0.037331	0.000000	1.350000	0.000030	1.425338	934.140015	3.141508
9381.341152	0.037500	0.000000	1.350000	0.000030	1.425000	934.140015	3.141508
9334.624683	0.036634	0.000000	1.350000	0.000030	1.426731	934.140015	3.141508
9338.937641	0.036639	0.000000	1.350000	0.000030	1.426721	934.140015	3.141508
9272.509167	0.037500	0.000000	1.350000	0.000030	1.425000	934.140015	3.141508
9216.692834	0.037179	0.000000	1.350000	0.000031	1.425642	934.140015	3.141507
9216.692834	0.037179	0.000000	1.350000	0.000031	1.425642	934.140015	3.141507
9272.509167	0.037996	0.000000	1.350000	0.000030	1.424007	934.140015	3.141507
9198.612376	0.037502	0.000000	1.350000	0.000031	1.424996	934.140015	3.141507
9230.701069	0.038279	0.000000	1.350000	0.000030	1.423441	934.140015	3.141507
9060.239372	0.037508	0.000000	1.350000	0.000031	1.424985	934.140015	3.141506
9192.456896	0.038723	0.000000	1.350000	0.000031	1.422555	934.140015	3.141507
9084.449942	0.038038	0.000000	1.350000	0.000031	1.423924	934.140015	3.141506
9038.890803	0.038723	0.000000	1.350000	0.000031	1.422555	934.140015	3.141505
8990.847611	0.037894	0.000000	1.350000	0.000031	1.424212	934.140015	3.141505
9033.409370	0.039434	0.000000	1.350000	0.000031	1.421132	934.140015	3.141505
8923.016056	0.036094	0.000000	1.350000	0.000032	1.427812	934.140015	3.141504
8923.016056	0.036094	0.000000	1.350000	0.000032	1.427812	934.140015	3.141504
8923.016056	0.036094	0.000000	1.350000	0.000032	1.427812	934.140015	3.141504
8762.259521	0.036094	0.000000	1.350000	0.000032	1.427812	934.140015	3.141503
8762.259521	0.036094	0.000000	1.350000	0.000032	1.427812	934.140015	3.141503
8967.043491	0.036008	0.000000	1.350000	0.000031	1.427984	934.140015	3.141505
8744.305219	0.036008	0.000000	1.350000	0.000032	1.427984	934.140015	3.141503
8891.153991	0.040154	0.000000	1.350000	0.000032	1.419692	934.140015	3.141504
8891.153991	0.040154	0.000000	1.350000	0.000032	1.419692	934.140015	3.141504
8891.153991	0.040463	0.000000	1.350000	0.000032	1.419074	934.140015	3.141503
8711.946993	0.036702	0.000000	1.350000	0.000032	1.426595	934.140015	3.141502
8513.126531	0.036702	0.000000	1.350000	0.000033	1.426595	934.140015	3.141500
8348.090034	0.036405	0.000000	1.350000	0.000034	1.427191	934.140015	3.141498
8348.090034	0.038959	0.000000	1.350000	0.000034	1.422082	934.140015	3.141498
8348.090034	0.038959	0.000000	1.350000	0.000034	1.422082	934.140015	3.141498
8348.090034	0.038959	0.000000	1.350000	0.000034	1.422082	934.140015	3.141498
8348.090034	0.038959	0.000000	1.350000	0.000034	1.422082	934.140015	3.141498
8348.090034	0.039178	0.000000	1.350000	0.000034	1.421643	934.140015	3.141498
8348.090034	0.039178	0.000000	1.350000	0.000034	1.421643	934.140015	3.141498
8179.934079	0.038572	0.000000	1.350000	0.000034	1.422855	934.140015	3.141496
8179.934079	0.038572	0.000000	1.350000	0.000034	1.422855	934.140015	3.141496
8179.934079	0.038572	0.000000	1.350000	0.000034	1.422855	934.140015	3.141496
8348.090034	0.039467	0.000000	1.350000	0.000034	1.421066	934.140015	3.141498
8317.578092	0.040144	0.000000	1.350000	0.000034	1.419712	934.140015	3.141497
8276.028188	0.038476	0.000000	1.350000	0.000034	1.423048	934.140015	3.141497
8178.164795	0.040069	0.000000	1.350000	0.000034	1.419863	934.140015	3.141496
8178.164795	0.040069	0.000000	1.350000	0.000034	1.419863	934.140015	3.141496
8252.830620	0.037810	0.000000	1.350000	0.000034	1.424380	934.140015	3.141497
8124.312291	0.038289	0.000000	1.350000	0.000035	1.423422	934.140015	3.141495
8124.312291	0.038671	0.000000	1.350000	0.000035	1.422658	934.140015	3.141495
8234.354631	0.038064	0.000000	1.350000	0.000034	1.423871	934.140015	3.141497
8211.043874	0.037823	0.000000	1.350000	0.000034	1.424354	934.140015	3.141496
8149.454605	0.040144	0.000000	1.350000	0.000035	1.419712	934.140015	3.141495
8089.704336	0.037069	0.000000	1.350000	0.000035	1.425861	934.140015	3.141495
