rho_c	i	phi_1	n0	p	a	r1	teta
10000.000000	0.000000	0.000000	1.350000	0.000028	1.500000	934.140015	3.141518
9755.869176	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141512
9757.570408	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141512
9729.804258	0.037456	0.000000	1.350000	0.000029	1.425087	934.140015	3.141512
9729.804258	0.037456	0.000000	1.350000	0.000029	1.425087	934.140015	3.141512
9530.478477	0.037500	0.000000	1.350000	0.000030	1.425000	934.140015	3.141510
9508.944709	0.037500	0.000000	1.350000	0.000030	1.425000	934.140015	3.141510
9400.843161	0.037500	0.000000	1.350000	0.000030	1.425000	934.140015	3.141509
9444.431124	0.037690	0.000000	1.350000	0.000030	1.424620	934.140015	3.141509
9441.441066	0.037500	0.000000	1.350000	0.000030	1.425000	934.140015	3.141509
9441.441066	0.037500	0.000000	1.350000	0.000030	1.425000	934.140015	3.141509
9460.864102	0.037533	0.000000	1.350000	0.000030	1.424933	934.140015	3.141509
9427.842074	0.037244	0.000000	1.350000	0.000030	1.425512	934.140015	3.141509
9255.923893	0.037055	0.000000	1.350000	0.000030	1.425889	934.140015	3.141507
9326.532851	0.039285	0.000000	1.350000	0.000030	1.421429	934.140015	3.141508
9340.139780	0.037500	0.000000	1.350000	0.000030	1.425000	934.140015	3.141508
9303.047854	0.038741	0.000000	1.350000	0.000030	1.422519	934.140015	3.141508
9298.606172	0.039124	0.000000	1.350000	0.000030	1.421752	934.140015	3.141508
9303.047854	0.038837	0.000000	1.350000	0.000030	1.422325	934.140015	3.141508
9241.858706	0.038741	0.000000	1.350000	0.000030	1.422519	934.140015	3.141507
9195.267751	0.036014	0.000000	1.350000	0.000031	1.427972	934.140015	3.141507
9080.360930	0.036014	0.000000	1.350000	0.000031	1.427972	934.140015	3.141506
9195.267751	0.036014	0.000000	1.350000	0.000031	1.427972	934.140015	3.141507
9195.267751	0.036875	0.000000	1.350000	0.000031	1.426250	934.140015	3.141507
9160.264880	0.037264	0.000000	1.350000	0.000031	1.425472	934.140015	3.141506
9047.892317	0.038707	0.000000	1.350000	0.000031	1.422586	934.140015	3.141505
9047.892317	0.038707	0.000000	1.350000	0.000031	1.422586	934.140015	3.141505
9047.892317	0.038707	0.000000	1.350000	0.000031	1.422586	934.140015	3.141505
8965.753423	0.037577	0.000000	1.350000	0.000031	1.424845	934.140015	3.141505
8883.551683	0.036796	0.000000	1.350000	0.000032	1.426407	934.140015	3.141504
8756.732701	0.035623	0.000000	1.350000	0.000032	1.428754	934.140015	3.141503
8756.732701	0.037987	0.000000	1.350000	0.000032	1.424025	934.140015	3.141502
8664.478494	0.038312	0.000000	1.350000	0.000032	1.423375	934.140015	3.141501
8747.658270	0.039540	0.000000	1.350000	0.000032	1.420921	934.140015	3.141502
8747.658270	0.039540	0.000000	1.350000	0.000032	1.420921	934.140015	3.141502
8747.658270	0.039540	0.000000	1.350000	0.000032	1.420921	934.140015	3.141502
8631.760332	0.035100	0.000000	1.350000	0.000033	1.429800	934.140015	3.141501
8633.990703	0.038152	0.000000	1.350000	0.000033	1.423696	934.140015	3.141501
8505.958515	0.034111	0.000000	1.350000	0.000033	1.431779	934.140015	3.141500
8505.958515	0.034111	0.000000	1.350000	0.000033	1.431779	934.140015	3.141500
8432.575797	0.034111	0.000000	1.350000	0.000033	1.431779	934.140015	3.141499
8454.928002	0.039540	0.000000	1.350000	0.000033	1.420921	934.140015	3.141499
8505.958515	0.034111	0.000000	1.350000	0.000033	1.431779	934.140015	3.141500
8505.958515	0.034111	0.000000	1.350000	0.000033	1.431779	934.140015	3.141500
8505.958515	0.034453	0.000000	1.350000	0.000033	1.431094	934.140015	3.141500
8340.089744	0.034669	0.000000	1.350000	0.000034	1.430663	934.140015	3.141498
8477.715621	0.037730	0.000000	1.350000	0.000033	1.424541	934.140015	3.141500
8512.298454	0.039410	0.000000	1.350000	0.000033	1.421179	934.140015	3.141500
8467.222585	0.039410	0.000000	1.350000	0.000033	1.421179	934.140015	3.141499
8357.355449	0.037605	0.000000	1.350000	0.000034	1.424789	934.140015	3.141498
8357.355449	0.037605	0.000000	1.350000	0.000034	1.424789	934.140015	3.141498
8294.491719	0.034660	0.000000	1.350000	0.000034	1.430680	934.140015	3.141498
8399.871999	0.039305	0.000000	1.350000	0.000033	1.421389	934.140015	3.141498
8399.871999	0.040185	0.000000	1.350000	0.000033	1.419631	934.140015	3.141498
8345.020923	0.037152	0.000000	1.350000	0.000034	1.425696	934.140015	3.141498
8204.725408	0.036756	0.000000	1.350000	0.000034	1.426488	934.140015	3.141497
8399.871999	0.037776	0.000000	1.350000	0.000033	1.424449	934.140015	3.141499
8329.879718	0.037733	0.000000	1.350000	0.000034	1.424534	934.140015	3.141498
8159.449197	0.037733	0.000000	1.350000	0.000034	1.424534	934.140015	3.141496
8020.930372	0.037733	0.000000	1.350000	0.000035	1.424534	934.140015	3.141494
8020.930372	0.037733	0.000000	1.350000	0.000035	1.424534	934.140015	3.141494
8318.637123	0.037491	0.000000	1.350000	0.000034	1.425017	934.140015	3.141498
8293.816528	0.037581	0.000000	1.350000	0.000034	1.424839	934.140015	3.141497
8293.816528	0.037581	0.000000	1.350000	0.000034	1.424839	934.140015	3.141497
8229.384449	0.041666	0.000000	1.350000	0.000034	1.416669	934.140015	3.141496
8229.384449	0.040763	0.000000	1.350000	0.000034	1.418474	934.140015	3.141496
8283.390174	0.037581	0.000000	1.350000	0.000034	1.424839	934.140015	3.141497
8196.514153	0.035889	0.000000	1.350000	0.000034	1.428222	934.140015	3.141497
8219.835065	0.038809	0.000000	1.350000	0.000034	1.422382	934.140015	3.141496
8209.423363	0.038833	0.000000	1.350000	0.000034	1.422333	934.140015	3.141496
8126.079459	0.040544	0.000000	1.350000	0.000035	1.418913	934.140015	3.141495
8185.295800	0.040455	0.000000	1.350000	0.000034	1.419089	934.140015	3.141496
8159.300453	0.038833	0.000000	1.350000	0.000034	1.422333	934.140015	3.141496
8093.041771	0.040544	0.000000	1.350000	0.000035	1.418913	934.140015	3.141495
8014.742358	0.037640	0.000000	1.350000	0.000035	1.424720	934.140015	3.141494
8030.859236	0.036425	0.000000	1.350000	0.000035	1.427150	934.140015	3.141494
8030.859236	0.036425	0.000000	1.350000	0.000035	1.427150	934.140015	3.141494
7952.171472	0.040006	0.000000	1.350000	0.000035	1.419989	934.140015	3.141493
7952.171472	0.040006	0.000000	1.350000	0.000035	1.419989	934.140015	3.141493
7982.490810	0.040006	0.000000	1.350000	0.000035	1.419989	934.140015	3.141493
7887.468258	0.036691	0.000000	1.350000	0.000036	1.426617	934.140015	3.141493
7887.468258	0.036691	0.000000	1.350000	0.000036	1.426617	934.140015	3.141493
7887.468258	0.038379	0.000000	1.350000	0.000036	1.423241	934.140015	3.141492
7887.468258	0.038379	0.000000	1.350000	0.000036	1.423241	934.140015	3.141492
7815.276647	0.038379	0.000000	1.350000	0.000036	1.423241	934.140015	3.141492
7778.743685	0.036387	0.000000	1.350000	0.000036	1.427226	934.140015	3.141491
7740.576431	0.036387	0.000000	1.350000	0.000036	1.427226	934.140015	3.141491
7846.442229	0.037228	0.000000	1.350000	0.000036	1.425544	934.140015	3.141492
7846.442229	0.037228	0.000000	1.350000	0.000036	1.425544	934.140015	3.141492
7749.416469	0.036462	0.000000	1.350000	0.000036	1.427077	934.140015	3.141491
7690.307911	0.034408	0.000000	1.350000	0.000037	1.431183	934.140015	3.141490
7690.307911	0.034408	0.000000	1.350000	0.000037	1.431183	934.140015	3.141490
7566.355827	0.037231	0.000000	1.350000	0.000037	1.425537	934.140015	3.141488
7566.355827	0.037231	0.000000	1.350000	0.000037	1.425537	934.140015	3.141488
7566.355827	0.037415	0.000000	1.350000	0.000037	1.425170	934.140015	3.141488
7566.355827	0.037415	0.000000	1.350000	0.000037	1.425170	934.140015	3.141488
7566.355827	0.037415	0.000000	1.350000	0.000037	1.425170	934.140015	3.141488
7566.355827	0.037415	0.000000	1.350000	0.000037	1.425170	934.140015	3.141488
7566.355827	0.037415	0.000000	1.350000	0.000037	1.425170	934.140015	3.141488
7390.361815	0.036079	0.000000	1.350000	0.000038	1.427842	934.140015	3.141486
7348.113819	0.035798	0.000000	1.350000	0.000038	1.428405	934.140015	3.141485
7348.113819	0.035798	0.000000	1.350000	0.000038	1.428405	934.140015	3.141485
7348.113819	0.035798	0.000000	1.350000	0.000038	1.428405	934.140015	3.141485
7390.361815	0.039136	0.000000	1.350000	0.000038	1.421729	934.140015	3.141486
7308.865523	0.036079	0.000000	1.350000	0.000038	1.427842	934.140015	3.141485
7305.841048	0.035686	0.000000	1.350000	0.000038	1.428628	934.140015	3.141485
7305.841048	0.035686	0.000000	1.350000	0.000038	1.428628	934.140015	3.141485
7305.841048	0.035686	0.000000	1.350000	0.000038	1.428628	934.140015	3.141485
7210.480478	0.036235	0.000000	1.350000	0.000039	1.427530	934.140015	3.141483
7210.480478	0.036235	0.000000	1.350000	0.000039	1.427530	934.140015	3.141483
7095.342896	0.035707	0.000000	1.350000	0.000040	1.428586	934.140015	3.141482
7095.342896	0.035707	0.000000	1.350000	0.000040	1.428586	934.140015	3.141482
7237.555512	0.034878	0.000000	1.350000	0.000039	1.430244	934.140015	3.141484
7237.555512	0.034878	0.000000	1.350000	0.000039	1.430244	934.140015	3.141484
7199.608967	0.034878	0.000000	1.350000	0.000039	1.430244	934.140015	3.141483
7154.270306	0.033490	0.000000	1.350000	0.000039	1.433020	934.140015	3.141483
7122.879055	0.035291	0.000000	1.350000	0.000039	1.429418	934.140015	3.141482
7122.879055	0.034581	0.000000	1.350000	0.000039	1.430838	934.140015	3.141482
7122.879055	0.034581	0.000000	1.350000	0.000039	1.430838	934.140015	3.141482
7122.879055	0.034581	0.000000	1.350000	0.000039	1.430838	934.140015	3.141482
7143.065243	0.036696	0.000000	1.350000	0.000039	1.426608	934.140015	3.141482
7143.065243	0.036696	0.000000	1.350000	0.000039	1.426608	934.140015	3.141482
7086.210699	0.035925	0.000000	1.350000	0.000040	1.428149	934.140015	3.141481
7086.210699	0.038040	0.000000	1.350000	0.000040	1.423921	934.140015	3.141481
7098.550773	0.036741	0.000000	1.350000	0.000040	1.426518	934.140015	3.141482
7066.062665	0.037207	0.000000	1.350000	0.000040	1.425585	934.140015	3.141481
7083.794468	0.041705	0.000000	1.350000	0.000040	1.416589	934.140015	3.141481
7083.794468	0.041705	0.000000	1.350000	0.000040	1.416589	934.140015	3.141481
7083.794468	0.041705	0.000000	1.350000	0.000040	1.416589	934.140015	3.141481
6964.357287	0.035455	0.000000	1.350000	0.000040	1.429091	934.140015	3.141480
6997.267831	0.041512	0.000000	1.350000	0.000040	1.416977	934.140015	3.141479
6997.267831	0.041512	0.000000	1.350000	0.000040	1.416977	934.140015	3.141479
6997.267831	0.041512	0.000000	1.350000	0.000040	1.416977	934.140015	3.141479
7044.835788	0.034441	0.000000	1.350000	0.000040	1.431118	934.140015	3.141481
7028.857927	0.039316	0.000000	1.350000	0.000040	1.421367	934.140015	3.141480
7028.857927	0.039409	0.000000	1.350000	0.000040	1.421181	934.140015	3.141480
7022.723715	0.033982	0.000000	1.350000	0.000040	1.432037	934.140015	3.141481
7057.818304	0.040463	0.000000	1.350000	0.000040	1.419074	934.140015	3.141480
7022.723715	0.034111	0.000000	1.350000	0.000040	1.431778	934.140015	3.141481
7022.723715	0.034111	0.000000	1.350000	0.000040	1.431778	934.140015	3.141481
7043.126562	0.037506	0.000000	1.350000	0.000040	1.424988	934.140015	3.141481
7094.830329	0.037160	0.000000	1.350000	0.000040	1.425679	934.140015	3.141481
6993.185795	0.035953	0.000000	1.350000	0.000040	1.428093	934.140015	3.141480
7013.113337	0.035553	0.000000	1.350000	0.000040	1.428893	934.140015	3.141480
6969.268902	0.035553	0.000000	1.350000	0.000040	1.428893	934.140015	3.141480
6844.643739	0.036229	0.000000	1.350000	0.000041	1.427542	934.140015	3.141478
6844.643739	0.035768	0.000000	1.350000	0.000041	1.428464	934.140015	3.141478
6875.729201	0.039120	0.000000	1.350000	0.000041	1.421761	934.140015	3.141478
6883.383084	0.039120	0.000000	1.350000	0.000041	1.421761	934.140015	3.141478
6883.383084	0.039120	0.000000	1.350000	0.000041	1.421761	934.140015	3.141478
6895.694965	0.039120	0.000000	1.350000	0.000041	1.421761	934.140015	3.141478
6968.612864	0.035866	0.000000	1.350000	0.000040	1.428267	934.140015	3.141480
7003.006430	0.039060	0.000000	1.350000	0.000040	1.421880	934.140015	3.141480
6987.162950	0.036155	0.000000	1.350000	0.000040	1.427690	934.140015	3.141480
6990.528900	0.037321	0.000000	1.350000	0.000040	1.425357	934.140015	3.141480
6990.528900	0.037321	0.000000	1.350000	0.000040	1.425357	934.140015	3.141480
6848.518330	0.036155	0.000000	1.350000	0.000041	1.427690	934.140015	3.141478
6854.945439	0.036269	0.000000	1.350000	0.000041	1.427462	934.140015	3.141478
