rho_c	i	phi_1	n0	p	a	r1	teta
10000.000000	0.000000	0.000000	1.350000	0.000028	1.500000	934.140015	3.141518
9775.138364	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141512
9677.086407	0.038260	0.000000	1.350000	0.000029	1.423479	934.140015	3.141511
9724.009325	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141511
9557.595402	0.037171	0.000000	1.350000	0.000029	1.425657	934.140015	3.141510
9606.303372	0.037492	0.000000	1.350000	0.000029	1.425016	934.140015	3.141510
9498.953243	0.037500	0.000000	1.350000	0.000030	1.425000	934.140015	3.141510
9498.953243	0.037799	0.000000	1.350000	0.000030	1.424402	934.140015	3.141510
9493.535050	0.037776	0.000000	1.350000	0.000030	1.424448	934.140015	3.141509
9300.945026	0.037776	0.000000	1.350000	0.000030	1.424448	934.140015	3.141508
9300.945026	0.037776	0.000000	1.350000	0.000030	1.424448	934.140015	3.141508
9220.348525	0.038399	0.000000	1.350000	0.000031	1.423201	934.140015	3.141507
9050.373356	0.038399	0.000000	1.350000	0.000031	1.423201	934.140015	3.141505
9050.373356	0.037488	0.000000	1.350000	0.000031	1.425024	934.140015	3.141505
9339.175548	0.036393	0.000000	1.350000	0.000030	1.427215	934.140015	3.141508
9320.900517	0.038183	0.000000	1.350000	0.000030	1.423634	934.140015	3.141508
9184.794581	0.038209	0.000000	1.350000	0.000031	1.423583	934.140015	3.141507
9338.954577	0.038051	0.000000	1.350000	0.000030	1.423898	934.140015	3.141508
9327.069175	0.037398	0.000000	1.350000	0.000030	1.425203	934.140015	3.141508
9269.431303	0.037529	0.000000	1.350000	0.000030	1.424942	934.140015	3.141507
9269.431303	0.038352	0.000000	1.350000	0.000030	1.423297	934.140015	3.141507
9203.518800	0.037428	0.000000	1.350000	0.000031	1.425144	934.140015	3.141507
9203.518800	0.037428	0.000000	1.350000	0.000031	1.425144	934.140015	3.141507
9250.221546	0.037428	0.000000	1.350000	0.000030	1.425144	934.140015	3.141507
9093.873953	0.037428	0.000000	1.350000	0.000031	1.425144	934.140015	3.141506
9093.873953	0.037428	0.000000	1.350000	0.000031	1.425144	934.140015	3.141506
8899.529422	0.037428	0.000000	1.350000	0.000032	1.425144	934.140015	3.141504
8704.115224	0.037428	0.000000	1.350000	0.000032	1.425144	934.140015	3.141502
9187.773067	0.037584	0.000000	1.350000	0.000031	1.424833	934.140015	3.141507
9230.064863	0.038002	0.000000	1.350000	0.000030	1.423997	934.140015	3.141507
9196.445201	0.037410	0.000000	1.350000	0.000031	1.425180	934.140015	3.141507
9202.319049	0.039123	0.000000	1.350000	0.000031	1.421755	934.140015	3.141507
9202.319049	0.039123	0.000000	1.350000	0.000031	1.421755	934.140015	3.141507
9202.319049	0.039123	0.000000	1.350000	0.000031	1.421755	934.140015	3.141507
9077.211827	0.037536	0.000000	1.350000	0.000031	1.424929	934.140015	3.141506
9044.498933	0.039123	0.000000	1.350000	0.000031	1.421755	934.140015	3.141505
9045.058534	0.038915	0.000000	1.350000	0.000031	1.422169	934.140015	3.141505
8912.809203	0.037536	0.000000	1.350000	0.000032	1.424929	934.140015	3.141504
8933.927924	0.038317	0.000000	1.350000	0.000031	1.423367	934.140015	3.141504
8819.213289	0.038915	0.000000	1.350000	0.000032	1.422169	934.140015	3.141503
8819.213289	0.038918	0.000000	1.350000	0.000032	1.422163	934.140015	3.141503
8819.213289	0.039541	0.000000	1.350000	0.000032	1.420919	934.140015	3.141503
8819.213289	0.039541	0.000000	1.350000	0.000032	1.420919	934.140015	3.141503
8671.431294	0.038762	0.000000	1.350000	0.000032	1.422477	934.140015	3.141501
8671.431294	0.038762	0.000000	1.350000	0.000032	1.422477	934.140015	3.141501
8671.431294	0.038762	0.000000	1.350000	0.000032	1.422477	934.140015	3.141501
8671.431294	0.038762	0.000000	1.350000	0.000032	1.422477	934.140015	3.141501
8791.988766	0.035046	0.000000	1.350000	0.000032	1.429909	934.140015	3.141503
8808.841041	0.038915	0.000000	1.350000	0.000032	1.422169	934.140015	3.141503
8791.988766	0.036594	0.000000	1.350000	0.000032	1.426813	934.140015	3.141503
8685.300884	0.036595	0.000000	1.350000	0.000032	1.426810	934.140015	3.141502
8685.300884	0.036595	0.000000	1.350000	0.000032	1.426810	934.140015	3.141502
8606.321392	0.038915	0.000000	1.350000	0.000033	1.422169	934.140015	3.141501
8452.239050	0.036595	0.000000	1.350000	0.000033	1.426810	934.140015	3.141499
8262.772701	0.037160	0.000000	1.350000	0.000034	1.425679	934.140015	3.141497
8262.772701	0.037160	0.000000	1.350000	0.000034	1.425679	934.140015	3.141497
8138.510225	0.036875	0.000000	1.350000	0.000035	1.426249	934.140015	3.141496
8138.510225	0.036875	0.000000	1.350000	0.000035	1.426249	934.140015	3.141496
8138.510225	0.036875	0.000000	1.350000	0.000035	1.426249	934.140015	3.141496
8138.510225	0.037739	0.000000	1.350000	0.000035	1.424523	934.140015	3.141496
8233.201433	0.037999	0.000000	1.350000	0.000034	1.424002	934.140015	3.141497
8233.201433	0.038545	0.000000	1.350000	0.000034	1.422910	934.140015	3.141497
8079.270958	0.038545	0.000000	1.350000	0.000035	1.422910	934.140015	3.141495
8079.270958	0.038545	0.000000	1.350000	0.000035	1.422910	934.140015	3.141495
8325.098874	0.034573	0.000000	1.350000	0.000034	1.430854	934.140015	3.141498
8300.707060	0.038883	0.000000	1.350000	0.000034	1.422234	934.140015	3.141497
8300.707060	0.038883	0.000000	1.350000	0.000034	1.422234	934.140015	3.141497
8187.062828	0.036739	0.000000	1.350000	0.000034	1.426522	934.140015	3.141496
8257.289851	0.036739	0.000000	1.350000	0.000034	1.426522	934.140015	3.141497
8257.289851	0.036739	0.000000	1.350000	0.000034	1.426522	934.140015	3.141497
8173.286015	0.037502	0.000000	1.350000	0.000034	1.424996	934.140015	3.141496
8229.937778	0.036888	0.000000	1.350000	0.000034	1.426225	934.140015	3.141497
8097.859967	0.040013	0.000000	1.350000	0.000035	1.419973	934.140015	3.141495
8097.859967	0.040013	0.000000	1.350000	0.000035	1.419973	934.140015	3.141495
8097.859967	0.040013	0.000000	1.350000	0.000035	1.419973	934.140015	3.141495
7962.051827	0.040426	0.000000	1.350000	0.000035	1.419147	934.140015	3.141493
