rho_c	i	phi_1	n0	p	a	r1	teta
10000.000000	0.000000	0.000000	1.350000	0.000028	1.500000	934.140015	3.141518
9773.384706	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141512
9773.017126	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141512
9715.196739	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141511
9715.196739	0.038296	0.000000	1.350000	0.000029	1.423408	934.140015	3.141511
9584.655440	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141510
9555.320951	0.037014	0.000000	1.350000	0.000029	1.425971	934.140015	3.141510
9446.575821	0.037631	0.000000	1.350000	0.000030	1.424737	934.140015	3.141509
9540.882329	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141510
9459.819099	0.037500	0.000000	1.350000	0.000030	1.425000	934.140015	3.141509
9459.819099	0.037500	0.000000	1.350000	0.000030	1.425000	934.140015	3.141509
9347.675206	0.037500	0.000000	1.350000	0.000030	1.425000	934.140015	3.141508
9349.331153	0.038103	0.000000	1.350000	0.000030	1.423794	934.140015	3.141508
9233.948322	0.035839	0.000000	1.350000	0.000030	1.428321	934.140015	3.141507
9233.948322	0.038234	0.000000	1.350000	0.000030	1.423532	934.140015	3.141507
9233.948322	0.038234	0.000000	1.350000	0.000030	1.423532	934.140015	3.141507
9169.916152	0.037500	0.000000	1.350000	0.000031	1.425000	934.140015	3.141507
9062.747744	0.038234	0.000000	1.350000	0.000031	1.423532	934.140015	3.141505
9008.221373	0.037869	0.000000	1.350000	0.000031	1.424263	934.140015	3.141505
9008.221373	0.039855	0.000000	1.350000	0.000031	1.420291	934.140015	3.141505
9091.203611	0.037869	0.000000	1.350000	0.000031	1.424263	934.140015	3.141506
8975.937897	0.036676	0.000000	1.350000	0.000031	1.426649	934.140015	3.141505
8975.937897	0.037756	0.000000	1.350000	0.000031	1.424489	934.140015	3.141505
9033.534197	0.039238	0.000000	1.350000	0.000031	1.421524	934.140015	3.141505
8919.531305	0.039591	0.000000	1.350000	0.000032	1.420819	934.140015	3.141504
8853.802949	0.036676	0.000000	1.350000	0.000032	1.426649	934.140015	3.141504
8853.802949	0.036676	0.000000	1.350000	0.000032	1.426649	934.140015	3.141504
8853.802949	0.036676	0.000000	1.350000	0.000032	1.426649	934.140015	3.141504
8654.946054	0.036676	0.000000	1.350000	0.000032	1.426649	934.140015	3.141502
8654.946054	0.037100	0.000000	1.350000	0.000032	1.425801	934.140015	3.141501
8744.926108	0.038408	0.000000	1.350000	0.000032	1.423185	934.140015	3.141502
8744.926108	0.038408	0.000000	1.350000	0.000032	1.423185	934.140015	3.141502
8526.889864	0.036867	0.000000	1.350000	0.000033	1.426265	934.140015	3.141500
8695.079808	0.034475	0.000000	1.350000	0.000032	1.431049	934.140015	3.141502
8695.079808	0.039282	0.000000	1.350000	0.000032	1.421435	934.140015	3.141502
8695.079808	0.033742	0.000000	1.350000	0.000032	1.432517	934.140015	3.141502
8734.706267	0.038406	0.000000	1.350000	0.000032	1.423187	934.140015	3.141502
8701.676130	0.037492	0.000000	1.350000	0.000032	1.425017	934.140015	3.141502
8574.849968	0.038406	0.000000	1.350000	0.000033	1.423187	934.140015	3.141500
8392.152724	0.036061	0.000000	1.350000	0.000034	1.427878	934.140015	3.141499
8392.152724	0.036061	0.000000	1.350000	0.000034	1.427878	934.140015	3.141499
8539.665147	0.036791	0.000000	1.350000	0.000033	1.426418	934.140015	3.141500
8539.665147	0.035911	0.000000	1.350000	0.000033	1.428177	934.140015	3.141500
8539.665147	0.035911	0.000000	1.350000	0.000033	1.428177	934.140015	3.141500
8498.060898	0.035774	0.000000	1.350000	0.000033	1.428452	934.140015	3.141500
8347.189456	0.035774	0.000000	1.350000	0.000034	1.428452	934.140015	3.141498
8347.189456	0.035774	0.000000	1.350000	0.000034	1.428452	934.140015	3.141498
8157.666526	0.035774	0.000000	1.350000	0.000034	1.428452	934.140015	3.141496
8376.563207	0.035184	0.000000	1.350000	0.000034	1.429633	934.140015	3.141499
8376.563207	0.034856	0.000000	1.350000	0.000034	1.430288	934.140015	3.141499
8546.714396	0.039271	0.000000	1.350000	0.000033	1.421458	934.140015	3.141500
8421.746057	0.035239	0.000000	1.350000	0.000033	1.429522	934.140015	3.141499
8377.370166	0.035239	0.000000	1.350000	0.000034	1.429522	934.140015	3.141499
8335.226460	0.037136	0.000000	1.350000	0.000034	1.425727	934.140015	3.141498
8480.197807	0.041233	0.000000	1.350000	0.000033	1.417535	934.140015	3.141499
