rho_c	i	phi_1	n0	p	a	r1	teta
10000.000000	0.000000	0.000000	1.350000	0.000028	1.500000	934.140015	3.141518
9795.664394	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141512
9702.870267	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141511
9649.067442	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141511
9649.067442	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141511
9609.052461	0.037500	0.000000	1.350000	0.000029	1.425000	934.140015	3.141510
9564.367503	0.038466	0.000000	1.350000	0.000029	1.423068	934.140015	3.141510
9486.910473	0.037500	0.000000	1.350000	0.000030	1.425000	934.140015	3.141509
9266.409626	0.037500	0.000000	1.350000	0.000030	1.425000	934.140015	3.141507
9058.190070	0.037759	0.000000	1.350000	0.000031	1.424482	934.140015	3.141505
9058.190070	0.037759	0.000000	1.350000	0.000031	1.424482	934.140015	3.141505
9058.190070	0.038323	0.000000	1.350000	0.000031	1.423354	934.140015	3.141505
9058.190070	0.038994	0.000000	1.350000	0.000031	1.422011	934.140015	3.141505
9058.190070	0.039143	0.000000	1.350000	0.000031	1.421713	934.140015	3.141505
8896.151885	0.039143	0.000000	1.350000	0.000032	1.421713	934.140015	3.141504
8896.151885	0.039143	0.000000	1.350000	0.000032	1.421713	934.140015	3.141504
8960.227081	0.039743	0.000000	1.350000	0.000031	1.420515	934.140015	3.141504
9006.618641	0.036314	0.000000	1.350000	0.000031	1.427373	934.140015	3.141505
8859.260151	0.036314	0.000000	1.350000	0.000032	1.427373	934.140015	3.141504
8859.260151	0.037136	0.000000	1.350000	0.000032	1.425728	934.140015	3.141504
8906.019805	0.035851	0.000000	1.350000	0.000032	1.428297	934.140015	3.141504
8906.019805	0.035851	0.000000	1.350000	0.000032	1.428297	934.140015	3.141504
8906.019805	0.035851	0.000000	1.350000	0.000032	1.428297	934.140015	3.141504
8906.019805	0.035851	0.000000	1.350000	0.000032	1.428297	934.140015	3.141504
8906.019805	0.035851	0.000000	1.350000	0.000032	1.428297	934.140015	3.141504
8906.019805	0.035851	0.000000	1.350000	0.000032	1.428297	934.140015	3.141504
8990.500102	0.034518	0.000000	1.350000	0.000031	1.430963	934.140015	3.141505
9042.781842	0.035138	0.000000	1.350000	0.000031	1.429725	934.140015	3.141506
9042.781842	0.034836	0.000000	1.350000	0.000031	1.430327	934.140015	3.141506
8982.610777	0.037947	0.000000	1.350000	0.000031	1.424106	934.140015	3.141505
8982.610777	0.038416	0.000000	1.350000	0.000031	1.423169	934.140015	3.141505
8826.556261	0.035436	0.000000	1.350000	0.000032	1.429128	934.140015	3.141503
8920.724147	0.038616	0.000000	1.350000	0.000032	1.422769	934.140015	3.141504
8920.724147	0.038616	0.000000	1.350000	0.000032	1.422769	934.140015	3.141504
8903.461110	0.038616	0.000000	1.350000	0.000032	1.422769	934.140015	3.141504
8903.461110	0.038616	0.000000	1.350000	0.000032	1.422769	934.140015	3.141504
8903.461110	0.038616	0.000000	1.350000	0.000032	1.422769	934.140015	3.141504
8920.724147	0.039355	0.000000	1.350000	0.000032	1.421290	934.140015	3.141504
8838.442831	0.037009	0.000000	1.350000	0.000032	1.425982	934.140015	3.141503
8820.023090	0.037824	0.000000	1.350000	0.000032	1.424352	934.140015	3.141503
8700.083401	0.038822	0.000000	1.350000	0.000032	1.422357	934.140015	3.141502
8700.083401	0.038116	0.000000	1.350000	0.000032	1.423767	934.140015	3.141502
8568.873293	0.038116	0.000000	1.350000	0.000033	1.423767	934.140015	3.141500
8627.137152	0.039020	0.000000	1.350000	0.000033	1.421961	934.140015	3.141501
8627.137152	0.038439	0.000000	1.350000	0.000033	1.423122	934.140015	3.141501
8627.137152	0.038713	0.000000	1.350000	0.000033	1.422575	934.140015	3.141501
8627.137152	0.038713	0.000000	1.350000	0.000033	1.422575	934.140015	3.141501
8509.377439	0.037469	0.000000	1.350000	0.000033	1.425062	934.140015	3.141500
8627.137152	0.038713	0.000000	1.350000	0.000033	1.422575	934.140015	3.141501
8620.627450	0.036691	0.000000	1.350000	0.000033	1.426617	934.140015	3.141501
8759.538508	0.038182	0.000000	1.350000	0.000032	1.423636	934.140015	3.141502
8712.508554	0.038143	0.000000	1.350000	0.000032	1.423715	934.140015	3.141502
8714.838166	0.039661	0.000000	1.350000	0.000032	1.420679	934.140015	3.141502
8650.759428	0.038944	0.000000	1.350000	0.000033	1.422111	934.140015	3.141501
8466.815179	0.038944	0.000000	1.350000	0.000033	1.422111	934.140015	3.141499
8707.203696	0.039037	0.000000	1.350000	0.000032	1.421926	934.140015	3.141502
8630.249949	0.036737	0.000000	1.350000	0.000033	1.426526	934.140015	3.141501
8567.935730	0.039499	0.000000	1.350000	0.000033	1.421002	934.140015	3.141500
8486.204409	0.038944	0.000000	1.350000	0.000033	1.422112	934.140015	3.141499
8288.015044	0.038944	0.000000	1.350000	0.000034	1.422112	934.140015	3.141497
8122.317612	0.038944	0.000000	1.350000	0.000035	1.422112	934.140015	3.141495
8122.317612	0.038944	0.000000	1.350000	0.000035	1.422112	934.140015	3.141495
8122.317612	0.038180	0.000000	1.350000	0.000035	1.423640	934.140015	3.141495
8122.317612	0.038180	0.000000	1.350000	0.000035	1.423640	934.140015	3.141495
8148.208036	0.035733	0.000000	1.350000	0.000035	1.428534	934.140015	3.141496
8081.331108	0.035733	0.000000	1.350000	0.000035	1.428534	934.140015	3.141495
8154.966169	0.035883	0.000000	1.350000	0.000034	1.428235	934.140015	3.141496
8167.338519	0.037276	0.000000	1.350000	0.000034	1.425447	934.140015	3.141496
8236.542791	0.037174	0.000000	1.350000	0.000034	1.425651	934.140015	3.141497
8236.542791	0.037174	0.000000	1.350000	0.000034	1.425651	934.140015	3.141497
8236.542791	0.040250	0.000000	1.350000	0.000034	1.419501	934.140015	3.141496
8236.542791	0.040250	0.000000	1.350000	0.000034	1.419501	934.140015	3.141496
8236.542791	0.040250	0.000000	1.350000	0.000034	1.419501	934.140015	3.141496
8162.029183	0.037156	0.000000	1.350000	0.000034	1.425688	934.140015	3.141496
8073.368841	0.040250	0.000000	1.350000	0.000035	1.419501	934.140015	3.141494
8064.012908	0.036723	0.000000	1.350000	0.000035	1.426554	934.140015	3.141495
8064.012908	0.036723	0.000000	1.350000	0.000035	1.426554	934.140015	3.141495
8103.427920	0.036290	0.000000	1.350000	0.000035	1.427420	934.140015	3.141495
7972.612968	0.036290	0.000000	1.350000	0.000035	1.427420	934.140015	3.141494
8162.231564	0.038658	0.000000	1.350000	0.000034	1.422685	934.140015	3.141496
8200.481261	0.038749	0.000000	1.350000	0.000034	1.422501	934.140015	3.141496
8200.481261	0.038749	0.000000	1.350000	0.000034	1.422501	934.140015	3.141496
8200.481261	0.038538	0.000000	1.350000	0.000034	1.422925	934.140015	3.141496
8072.171846	0.038073	0.000000	1.350000	0.000035	1.423855	934.140015	3.141495
7997.260464	0.037215	0.000000	1.350000	0.000035	1.425569	934.140015	3.141494
7997.260464	0.035878	0.000000	1.350000	0.000035	1.428245	934.140015	3.141494
8101.238501	0.034007	0.000000	1.350000	0.000035	1.431986	934.140015	3.141496
8101.238501	0.034007	0.000000	1.350000	0.000035	1.431986	934.140015	3.141496
7967.024450	0.034007	0.000000	1.350000	0.000035	1.431986	934.140015	3.141494
7967.024450	0.034007	0.000000	1.350000	0.000035	1.431986	934.140015	3.141494
8442.727523	0.036961	0.000000	1.350000	0.000033	1.426078	934.140015	3.141499
8394.906206	0.033699	0.000000	1.350000	0.000034	1.432603	934.140015	3.141499
8394.906206	0.033699	0.000000	1.350000	0.000034	1.432603	934.140015	3.141499
8404.010611	0.036125	0.000000	1.350000	0.000033	1.427751	934.140015	3.141499
8404.010611	0.036125	0.000000	1.350000	0.000033	1.427751	934.140015	3.141499
8308.078079	0.037453	0.000000	1.350000	0.000034	1.425095	934.140015	3.141498
8340.399608	0.039488	0.000000	1.350000	0.000034	1.421024	934.140015	3.141498
8254.532438	0.034539	0.000000	1.350000	0.000034	1.430922	934.140015	3.141497
8202.333060	0.033699	0.000000	1.350000	0.000034	1.432603	934.140015	3.141497
8180.711759	0.040736	0.000000	1.350000	0.000034	1.418529	934.140015	3.141496
8180.711759	0.041423	0.000000	1.350000	0.000034	1.417154	934.140015	3.141496
8027.838008	0.041423	0.000000	1.350000	0.000035	1.417154	934.140015	3.141494
8108.228804	0.033699	0.000000	1.350000	0.000035	1.432603	934.140015	3.141496
8108.228804	0.034110	0.000000	1.350000	0.000035	1.431780	934.140015	3.141496
8162.000305	0.037638	0.000000	1.350000	0.000034	1.424724	934.140015	3.141496
8015.662330	0.034374	0.000000	1.350000	0.000035	1.431252	934.140015	3.141495
8015.662330	0.034374	0.000000	1.350000	0.000035	1.431252	934.140015	3.141495
8015.662330	0.034374	0.000000	1.350000	0.000035	1.431252	934.140015	3.141495
8015.662330	0.034966	0.000000	1.350000	0.000035	1.430068	934.140015	3.141495
8015.662330	0.034466	0.000000	1.350000	0.000035	1.431067	934.140015	3.141495
7937.195212	0.037754	0.000000	1.350000	0.000035	1.424492	934.140015	3.141493
8014.867111	0.037754	0.000000	1.350000	0.000035	1.424492	934.140015	3.141494
7970.301656	0.038255	0.000000	1.350000	0.000035	1.423490	934.140015	3.141493
7823.702268	0.036245	0.000000	1.350000	0.000036	1.427510	934.140015	3.141492
7823.702268	0.038633	0.000000	1.350000	0.000036	1.422733	934.140015	3.141492
7655.348348	0.038139	0.000000	1.350000	0.000037	1.423722	934.140015	3.141489
7655.348348	0.038139	0.000000	1.350000	0.000037	1.423722	934.140015	3.141489
7578.830851	0.038528	0.000000	1.350000	0.000037	1.422945	934.140015	3.141488
7655.348348	0.037298	0.000000	1.350000	0.000037	1.425405	934.140015	3.141490
7655.348348	0.037298	0.000000	1.350000	0.000037	1.425405	934.140015	3.141490
7647.420775	0.037298	0.000000	1.350000	0.000037	1.425405	934.140015	3.141489
7647.420775	0.037298	0.000000	1.350000	0.000037	1.425405	934.140015	3.141489
7647.420775	0.037298	0.000000	1.350000	0.000037	1.425405	934.140015	3.141489
7647.420775	0.037298	0.000000	1.350000	0.000037	1.425405	934.140015	3.141489
7647.420775	0.038177	0.000000	1.350000	0.000037	1.423647	934.140015	3.141489
7647.420775	0.039239	0.000000	1.350000	0.000037	1.421522	934.140015	3.141489
7613.775796	0.034465	0.000000	1.350000	0.000037	1.431069	934.140015	3.141489
7537.821810	0.033975	0.000000	1.350000	0.000037	1.432050	934.140015	3.141488
7521.939837	0.037298	0.000000	1.350000	0.000037	1.425405	934.140015	3.141488
7383.693299	0.037298	0.000000	1.350000	0.000038	1.425405	934.140015	3.141486
