r1 void vitreous
3.12000 1.10807 1.49590
3.13000 1.10770 1.49540
3.14000 1.10734 1.49491
3.15000 1.10698 1.49442
3.16000 1.10662 1.49393
3.17000 1.10626 1.49345
3.18000 1.10590 1.49297
3.19000 1.10555 1.49249
3.20000 1.10520 1.49202
3.21000 1.10485 1.49155
3.22000 1.10451 1.49108
3.23000 1.10416 1.49062
3.24000 1.10382 1.49016
3.25000 1.10348 1.48970
3.26000 1.10314 1.48925
3.27000 1.10281 1.48879
3.28000 1.10248 1.48834
3.29000 1.10215 1.48790
3.30000 1.10182 1.48746
3.31000 1.10149 1.48702
3.32000 1.10117 1.48658
3.33000 1.10085 1.48614
3.34000 1.10053 1.48571
3.35000 1.10021 1.48528
3.36000 1.09989 1.48486
3.37000 1.09958 1.48443
3.38000 1.09927 1.48401
3.39000 1.09896 1.48359
3.40000 1.09865 1.48318
3.41000 1.09834 1.48276
3.42000 1.09804 1.48235
3.43000 1.09774 1.48194
3.44000 1.09744 1.48154
3.45000 1.09714 1.48114
3.46000 1.09684 1.48073
3.47000 1.09655 1.48034
3.48000 1.09625 1.47994
3.49000 1.09596 1.47955
3.50000 1.09567 1.47916
3.51000 1.09538 1.47877
3.52000 1.09510 1.47838
3.53000 1.09481 1.47800
3.54000 1.09453 1.47762
3.55000 1.09425 1.47724
3.56000 1.09397 1.47686
3.57000 1.09369 1.47648
3.58000 1.09342 1.47611
3.59000 1.09314 1.47574
3.60000 1.09287 1.47537
3.61000 1.09260 1.47501
3.62000 1.09233 1.47464
3.63000 1.09206 1.47428
3.64000 1.09179 1.47392
3.65000 1.09153 1.47356
3.66000 1.09127 1.47321
3.67000 1.09100 1.47285
3.68000 1.09074 1.47250
3.69000 1.09048 1.47215
3.70000 1.09023 1.47181
3.71000 1.08997 1.47146
3.72000 1.08972 1.47112
3.73000 1.08946 1.47078
3.74000 1.08921 1.47044
3.75000 1.08896 1.47010
3.76000 1.08871 1.46976
3.77000 1.08847 1.46943
3.78000 1.08822 1.46910
3.79000 1.08797 1.46877
3.80000 1.08773 1.46844
3.81000 1.08749 1.46811
3.82000 1.08725 1.46779
3.83000 1.08701 1.46746
3.84000 1.08677 1.46714
3.85000 1.08653 1.46682
3.86000 1.08630 1.46650
3.87000 1.08607 1.46619
3.88000 1.08583 1.46587
3.89000 1.08560 1.46556
3.90000 1.08537 1.46525
3.91000 1.08514 1.46494
3.92000 1.08491 1.46463
3.93000 1.08469 1.46433
3.94000 1.08446 1.46402
3.95000 1.08424 1.46372
3.96000 1.08401 1.46342
3.97000 1.08379 1.46312
3.98000 1.08357 1.46282
3.99000 1.08335 1.46253
4.00000 1.08313 1.46223
4.01000 1.08292 1.46194
4.02000 1.08270 1.46165
4.03000 1.08249 1.46136
4.04000 1.08227 1.46107
4.05000 1.08206 1.46078
4.06000 1.08185 1.46049
4.07000 1.08164 1.46021
4.08000 1.08143 1.45993
4.09000 1.08122 1.45965
4.10000 1.08101 1.45937
4.11000 1.08081 1.45909
4.12000 1.08060 1.45881
4.13000 1.08040 1.45853
4.14000 1.08019 1.45826
4.15000 1.07999 1.45799
4.16000 1.07979 1.45772
4.17000 1.07959 1.45745
4.18000 1.07939 1.45718
4.19000 1.07919 1.45691
4.20000 1.07900 1.45664
4.21000 1.07880 1.45638
4.22000 1.07860 1.45612
4.23000 1.07841 1.45585
4.24000 1.07822 1.45559
4.25000 1.07802 1.45533
4.26000 1.07783 1.45508
4.27000 1.07764 1.45482
4.28000 1.07745 1.45456
4.29000 1.07727 1.45431
4.30000 1.07708 1.45405
4.31000 1.07689 1.45380
4.32000 1.07670 1.45355
4.33000 1.07652 1.45330
4.34000 1.07634 1.45305
4.35000 1.07615 1.45281
4.36000 1.07597 1.45256
4.37000 1.07579 1.45232
4.38000 1.07561 1.45207
4.39000 1.07543 1.45183
4.40000 1.07525 1.45159
4.41000 1.07507 1.45135
4.42000 1.07490 1.45111
4.43000 1.07472 1.45087
4.44000 1.07454 1.45063
4.45000 1.07437 1.45040
4.46000 1.07420 1.45016
4.47000 1.07402 1.44993
4.48000 1.07385 1.44970
4.49000 1.07368 1.44947
4.50000 1.07351 1.44924
4.51000 1.07334 1.44901
4.52000 1.07317 1.44878
4.53000 1.07300 1.44855
4.54000 1.07283 1.44833
